ride_id,travel_from,travel_to,car_type,max_capacity,Seats_Sold,Year,Month,Day,Weekday,Hour
5941,Kisii,Nairobi,shuttle,11,3,2018,4,11,2,9
5942,Kisii,Nairobi,shuttle,11,1,2018,4,11,2,11
5943,Kisii,Nairobi,shuttle,11,1,2018,4,11,2,6
5944,Kisii,Nairobi,Bus,49,1,2018,4,11,2,7
5945,Kisii,Nairobi,shuttle,11,1,2018,4,11,2,10
5946,Kisii,Nairobi,shuttle,11,1,2018,4,11,2,5
5947,Migori,Nairobi,Bus,49,11,2017,11,28,1,7
5950,Homa Bay,Nairobi,Bus,49,10,2017,11,28,1,7
5951,Kisii,Nairobi,shuttle,11,6,2018,4,10,1,5
5953,Kisii,Nairobi,shuttle,11,1,2018,4,10,1,5
5957,Kisii,Nairobi,Bus,49,6,2018,4,10,1,7
5958,Kisii,Nairobi,shuttle,11,1,2018,4,10,1,6
5959,Kisii,Nairobi,shuttle,11,1,2018,4,10,1,5
5960,Kisii,Nairobi,shuttle,11,1,2018,4,10,1,6
5961,Kisii,Nairobi,shuttle,11,1,2018,4,10,1,5
5964,Kisii,Nairobi,shuttle,11,2,2018,4,9,0,5
5965,Kisii,Nairobi,shuttle,11,1,2018,4,9,0,5
5969,Kisii,Nairobi,Bus,49,2,2018,4,9,0,7
5971,Kisii,Nairobi,Bus,49,1,2018,4,9,0,19
5972,Kisii,Nairobi,shuttle,11,2,2018,4,9,0,6
5973,Kisii,Nairobi,shuttle,11,1,2018,4,9,0,5
5976,Kisii,Nairobi,shuttle,11,2,2018,4,8,6,5
5982,Kisii,Nairobi,Bus,49,4,2018,4,8,6,7
5983,Kisii,Nairobi,shuttle,11,1,2018,4,8,6,9
5984,Kisii,Nairobi,Bus,49,1,2018,4,8,6,7
5985,Kisii,Nairobi,shuttle,11,1,2018,4,8,6,5
5986,Kisii,Nairobi,Bus,49,1,2018,4,8,6,7
5988,Migori,Nairobi,Bus,49,3,2017,11,28,1,7
5993,Kisii,Nairobi,Bus,49,1,2018,4,7,5,7
5994,Kisii,Nairobi,shuttle,11,1,2018,4,7,5,6
5995,Kisii,Nairobi,shuttle,11,1,2018,4,7,5,6
5996,Kisii,Nairobi,shuttle,11,2,2018,4,7,5,6
5997,Kisii,Nairobi,shuttle,11,1,2018,4,7,5,11
5998,Keroka,Nairobi,shuttle,11,1,2017,11,28,1,10
6000,Kisii,Nairobi,shuttle,11,1,2018,4,7,5,5
6003,Kisii,Nairobi,shuttle,11,5,2018,4,6,4,5
6008,Kisii,Nairobi,Bus,49,2,2018,4,6,4,7
6009,Kisii,Nairobi,shuttle,11,1,2018,4,6,4,5
6010,Kisii,Nairobi,shuttle,11,1,2018,4,6,4,5
6013,Kisii,Nairobi,shuttle,11,1,2018,4,5,3,5
6015,Kisii,Nairobi,shuttle,11,8,2018,4,5,3,5
6019,Kisii,Nairobi,Bus,49,2,2018,4,5,3,7
6020,Kisii,Nairobi,Bus,49,1,2018,4,5,3,7
6021,Kisii,Nairobi,Bus,49,1,2018,4,5,3,19
6022,Kisii,Nairobi,shuttle,11,1,2018,4,5,3,5
6029,Kisii,Nairobi,Bus,49,1,2018,4,4,2,7
6030,Kisii,Nairobi,Bus,49,1,2018,4,4,2,7
6031,Kisii,Nairobi,shuttle,11,1,2018,4,4,2,6
6032,Kisii,Nairobi,shuttle,11,1,2018,4,4,2,5
6037,Kisii,Nairobi,Bus,49,1,2018,4,3,1,7
6038,Kisii,Nairobi,Bus,49,1,2018,4,3,1,7
6039,Kisii,Nairobi,shuttle,11,1,2018,4,3,1,10
6040,Kisii,Nairobi,shuttle,11,1,2018,4,3,1,5
6041,Kisii,Nairobi,shuttle,11,1,2018,4,3,1,7
6042,Kisii,Nairobi,shuttle,11,1,2018,4,3,1,5
6045,Kisii,Nairobi,shuttle,11,1,2018,4,2,0,5
6049,Kisii,Nairobi,Bus,49,2,2018,4,2,0,7
6050,Kisii,Nairobi,Bus,49,1,2018,4,2,0,7
6051,Kisii,Nairobi,shuttle,11,1,2018,4,2,0,5
6055,Homa Bay,Nairobi,Bus,49,4,2017,11,28,1,7
6058,Kisii,Nairobi,Bus,49,1,2018,4,1,6,7
6059,Kisii,Nairobi,shuttle,11,2,2018,4,1,6,9
6060,Kisii,Nairobi,shuttle,11,1,2018,4,1,6,5
6065,Kisii,Nairobi,Bus,49,1,2018,3,31,5,7
6066,Kisii,Nairobi,Bus,49,1,2018,3,31,5,7
6067,Kisii,Nairobi,shuttle,11,1,2018,3,31,5,10
6068,Kisii,Nairobi,shuttle,11,1,2018,3,31,5,8
6069,Kisii,Nairobi,shuttle,11,1,2018,3,31,5,10
6070,Kisii,Nairobi,shuttle,11,1,2018,3,31,5,5
6073,Kisii,Nairobi,shuttle,11,1,2018,3,30,4,5
6080,Kisii,Nairobi,Bus,49,1,2018,3,30,4,7
6081,Kisii,Nairobi,shuttle,11,1,2018,3,30,4,10
6082,Kisii,Nairobi,shuttle,11,1,2018,3,30,4,5
6083,Kisii,Nairobi,shuttle,11,1,2018,3,30,4,10
6084,Kisii,Nairobi,shuttle,11,1,2018,3,30,4,5
6085,Kisii,Nairobi,shuttle,11,1,2018,3,30,4,10
6088,Kisii,Nairobi,shuttle,11,2,2018,3,29,3,5
6089,Kisii,Nairobi,shuttle,11,1,2018,3,29,3,5
6095,Kisii,Nairobi,Bus,49,2,2018,3,29,3,7
6096,Kisii,Nairobi,shuttle,11,1,2018,3,29,3,9
6097,Kisii,Nairobi,shuttle,11,2,2018,3,29,3,5
6099,Kisii,Nairobi,Bus,49,1,2018,3,29,3,7
6105,Kisii,Nairobi,shuttle,11,1,2018,3,28,2,5
6106,Kisii,Nairobi,shuttle,11,1,2018,3,28,2,5
6112,Kisii,Nairobi,Bus,49,2,2018,3,28,2,7
6113,Kisii,Nairobi,shuttle,11,1,2018,3,28,2,10
6114,Kisii,Nairobi,shuttle,11,1,2018,3,28,2,8
6115,Kisii,Nairobi,shuttle,11,1,2018,3,28,2,6
6116,Kisii,Nairobi,shuttle,11,1,2018,3,28,2,7
6117,Kisii,Nairobi,shuttle,11,1,2018,3,28,2,5
6120,Rongo,Nairobi,Bus,49,1,2017,11,29,2,7
6122,Kisii,Nairobi,shuttle,11,1,2018,3,27,1,5
6126,Rongo,Nairobi,Bus,49,1,2017,11,29,2,7
6127,Kisii,Nairobi,Bus,49,2,2018,3,27,1,7
6128,Kisii,Nairobi,Bus,49,1,2018,3,27,1,7
6129,Kisii,Nairobi,shuttle,11,1,2018,3,27,1,6
6130,Kisii,Nairobi,Bus,49,1,2018,3,27,1,7
6131,Kisii,Nairobi,shuttle,11,1,2018,3,27,1,6
6132,Keroka,Nairobi,shuttle,11,1,2017,11,29,2,5
6133,Kisii,Nairobi,shuttle,11,1,2018,3,27,1,5
6134,Kisii,Nairobi,shuttle,11,4,2018,3,27,1,6
6135,Migori,Nairobi,Bus,49,6,2017,11,29,2,7
6138,Homa Bay,Nairobi,Bus,49,5,2017,11,29,2,7
6139,Kisii,Nairobi,shuttle,11,2,2018,3,26,0,5
6143,Kisii,Nairobi,Bus,49,1,2018,3,26,0,19
6144,Kisii,Nairobi,Bus,49,2,2018,3,26,0,7
6145,Kisii,Nairobi,shuttle,11,1,2018,3,26,0,6
6146,Kisii,Nairobi,shuttle,11,1,2018,3,26,0,6
6147,Kisii,Nairobi,shuttle,11,1,2018,3,26,0,7
6148,Kisii,Nairobi,shuttle,11,1,2018,3,26,0,5
6149,Kisii,Nairobi,shuttle,11,1,2018,3,26,0,6
6153,Rongo,Nairobi,Bus,49,4,2017,11,29,2,7
6154,Kisii,Nairobi,shuttle,11,5,2018,3,25,6,5
6162,Kisii,Nairobi,Bus,49,3,2018,3,25,6,7
6163,Kisii,Nairobi,shuttle,11,1,2018,3,25,6,6
6164,Kisii,Nairobi,shuttle,11,1,2018,3,25,6,8
6165,Kisii,Nairobi,shuttle,11,1,2018,3,25,6,10
6166,Kisii,Nairobi,shuttle,11,1,2018,3,25,6,10
6167,Kisii,Nairobi,shuttle,11,1,2018,3,25,6,11
6168,Kisii,Nairobi,shuttle,11,1,2018,3,25,6,7
6169,Kisii,Nairobi,shuttle,11,1,2018,3,25,6,5
6171,Kisii,Nairobi,shuttle,11,1,2018,3,24,5,5
6176,Kisii,Nairobi,Bus,49,2,2018,3,24,5,7
6177,Kisii,Nairobi,Bus,49,2,2018,3,24,5,8
6178,Kisii,Nairobi,shuttle,11,1,2018,3,24,5,9
6179,Kisii,Nairobi,shuttle,11,1,2018,3,24,5,8
6180,Kisii,Nairobi,shuttle,11,1,2018,3,24,5,5
6183,Kisii,Nairobi,shuttle,11,1,2018,3,23,4,5
6187,Kisii,Nairobi,Bus,49,1,2018,3,23,4,19
6188,Kisii,Nairobi,Bus,49,1,2018,3,23,4,8
6189,Kisii,Nairobi,Bus,49,3,2018,3,23,4,7
6190,Kisii,Nairobi,shuttle,11,1,2018,3,23,4,5
6191,Kisii,Nairobi,shuttle,11,1,2018,3,23,4,6
6193,Kisii,Nairobi,shuttle,11,1,2018,3,23,4,8
6194,Kisii,Nairobi,Bus,49,1,2018,3,23,4,7
6195,Kisii,Nairobi,shuttle,11,1,2018,3,23,4,5
6199,Kisii,Nairobi,shuttle,11,2,2018,3,22,3,5
6200,Kisii,Nairobi,shuttle,11,1,2018,3,22,3,5
6202,Migori,Nairobi,Bus,49,8,2017,11,29,2,7
6206,Kisii,Nairobi,Bus,49,5,2018,3,22,3,7
6207,Kisii,Nairobi,shuttle,11,4,2018,3,22,3,9
6208,Kisii,Nairobi,shuttle,11,2,2018,3,22,3,6
6209,Kisii,Nairobi,shuttle,11,1,2018,3,22,3,5
6210,Kisii,Nairobi,shuttle,11,3,2018,3,22,3,6
6211,Kisii,Nairobi,shuttle,11,1,2018,3,22,3,5
6212,Kisii,Nairobi,shuttle,11,1,2018,3,22,3,6
6215,Kisii,Nairobi,shuttle,11,1,2018,3,21,2,5
6221,Kisii,Nairobi,shuttle,11,1,2018,3,21,2,6
6222,Kisii,Nairobi,Bus,49,6,2018,3,21,2,7
6223,Kisii,Nairobi,Bus,49,1,2018,3,21,2,7
6224,Kisii,Nairobi,shuttle,11,1,2018,3,21,2,5
6226,Kisii,Nairobi,shuttle,11,3,2018,3,20,1,5
6231,Kisii,Nairobi,shuttle,11,1,2018,3,20,1,9
6232,Kisii,Nairobi,shuttle,11,1,2018,3,20,1,8
6233,Kisii,Nairobi,Bus,49,1,2018,3,20,1,7
6234,Kisii,Nairobi,shuttle,11,1,2018,3,20,1,8
6235,Kisii,Nairobi,Bus,49,1,2018,3,20,1,7
6236,Kisii,Nairobi,shuttle,11,1,2018,3,20,1,7
6237,Kisii,Nairobi,Bus,49,1,2018,3,20,1,7
6238,Kisii,Nairobi,shuttle,11,1,2018,3,20,1,5
6239,Kisii,Nairobi,Bus,49,1,2018,3,20,1,7
6242,Kisii,Nairobi,shuttle,11,1,2018,3,19,0,5
6243,Keroka,Nairobi,Bus,49,1,2017,11,29,2,7
6245,Homa Bay,Nairobi,Bus,49,11,2017,11,29,2,7
6251,Kisii,Nairobi,Bus,49,2,2018,3,19,0,7
6252,Kisii,Nairobi,shuttle,11,1,2018,3,19,0,5
6253,Kisii,Nairobi,Bus,49,1,2018,3,19,0,7
6254,Kisii,Nairobi,shuttle,11,1,2018,3,19,0,5
6255,Kisii,Nairobi,shuttle,11,1,2018,3,19,0,5
6261,Migori,Nairobi,Bus,49,1,2017,11,29,2,7
6262,Kisii,Nairobi,shuttle,11,1,2018,3,18,6,5
6267,Kisii,Nairobi,Bus,49,2,2018,3,18,6,7
6268,Kisii,Nairobi,shuttle,11,2,2018,3,18,6,10
6269,Kisii,Nairobi,shuttle,11,2,2018,3,18,6,5
6277,Kisii,Nairobi,Bus,49,3,2018,3,17,5,7
6278,Kisii,Nairobi,shuttle,11,1,2018,3,17,5,9
6279,Kisii,Nairobi,Bus,49,1,2018,3,17,5,7
6280,Kisii,Nairobi,shuttle,11,1,2018,3,17,5,5
6281,Kisii,Nairobi,shuttle,11,1,2018,3,17,5,5
6282,Kisii,Nairobi,shuttle,11,1,2018,3,17,5,5
6301,Kisii,Nairobi,shuttle,11,1,2018,3,16,4,5
6302,Kisii,Nairobi,Bus,49,24,2018,3,16,4,7
6303,Kisii,Nairobi,shuttle,11,5,2018,3,16,4,10
6305,Kisii,Nairobi,shuttle,11,1,2018,3,16,4,10
6306,Kisii,Nairobi,shuttle,11,9,2018,3,16,4,10
6310,Migori,Nairobi,Bus,49,2,2017,11,30,3,7
6311,Migori,Nairobi,Bus,49,1,2017,11,30,3,7
6314,Rongo,Nairobi,Bus,49,2,2017,11,30,3,7
6315,Kisii,Nairobi,shuttle,11,10,2018,3,16,4,10
6316,Kisii,Nairobi,shuttle,11,8,2018,3,16,4,10
6317,Kisii,Nairobi,shuttle,11,8,2018,3,16,4,10
6319,Kisii,Nairobi,shuttle,11,9,2018,3,16,4,10
6321,Keumbu,Nairobi,shuttle,11,1,2017,11,30,3,6
6324,Kisii,Nairobi,shuttle,11,7,2018,3,16,4,10
6325,Kisii,Nairobi,Bus,49,6,2018,3,16,4,7
6327,Kisii,Nairobi,shuttle,11,8,2018,3,16,4,10
6330,Kisii,Nairobi,shuttle,11,8,2018,3,16,4,10
6335,Kisii,Nairobi,shuttle,11,10,2018,3,16,4,10
6337,Migori,Nairobi,Bus,49,1,2017,12,1,4,7
6338,Kisii,Nairobi,shuttle,11,3,2018,3,16,4,10
6339,Rongo,Nairobi,Bus,49,1,2017,12,1,4,7
6340,Kisii,Nairobi,shuttle,11,10,2018,3,16,4,9
6342,Kisii,Nairobi,shuttle,11,5,2018,3,16,4,9
6343,Kisii,Nairobi,shuttle,11,6,2018,3,16,4,9
6344,Rongo,Nairobi,Bus,49,1,2017,12,1,4,7
6345,Rongo,Nairobi,Bus,49,1,2017,12,1,4,7
6346,Kisii,Nairobi,shuttle,11,4,2018,3,16,4,9
6347,Rongo,Nairobi,Bus,49,5,2017,12,1,4,7
6348,Kisii,Nairobi,shuttle,11,5,2018,3,16,4,8
6349,Kisii,Nairobi,shuttle,11,9,2018,3,16,4,8
6350,Kisii,Nairobi,shuttle,11,9,2018,3,16,4,8
6351,Kisii,Nairobi,shuttle,11,6,2018,3,16,4,8
6352,Kisii,Nairobi,shuttle,11,10,2018,3,16,4,8
6354,Kisii,Nairobi,shuttle,11,10,2018,3,16,4,8
6355,Kisii,Nairobi,shuttle,11,10,2018,3,16,4,7
6356,Rongo,Nairobi,Bus,49,3,2017,12,1,4,7
6357,Kisii,Nairobi,shuttle,11,6,2018,3,16,4,7
6358,Kisii,Nairobi,Bus,49,11,2018,3,16,4,7
6360,Kisii,Nairobi,Bus,49,11,2018,3,16,4,7
6361,Kisii,Nairobi,shuttle,11,7,2018,3,16,4,7
6364,Kisii,Nairobi,shuttle,11,10,2018,3,16,4,7
6366,Kisii,Nairobi,Bus,49,11,2018,3,16,4,7
6367,Kisii,Nairobi,shuttle,11,10,2018,3,16,4,6
6368,Kisii,Nairobi,shuttle,11,11,2018,3,16,4,7
6370,Keroka,Nairobi,shuttle,11,10,2017,12,1,4,6
6371,Kisii,Nairobi,shuttle,11,9,2018,3,16,4,6
6372,Kisii,Nairobi,Bus,49,2,2018,3,16,4,7
6373,Kisii,Nairobi,shuttle,11,4,2018,3,16,4,6
6375,Kisii,Nairobi,shuttle,11,1,2018,3,16,4,5
6378,Keroka,Nairobi,shuttle,11,11,2017,12,1,4,6
6381,Keroka,Nairobi,shuttle,11,10,2017,12,1,4,6
6384,Kisii,Nairobi,Bus,49,22,2018,3,15,3,7
6385,Kisii,Nairobi,shuttle,11,8,2018,3,15,3,8
6386,Kisii,Nairobi,shuttle,11,1,2018,3,15,3,9
6387,Kisii,Nairobi,shuttle,11,7,2018,3,15,3,9
6388,Keroka,Nairobi,shuttle,11,9,2017,12,1,4,6
6389,Kisii,Nairobi,Bus,49,8,2018,3,15,3,7
6390,Keroka,Nairobi,shuttle,11,11,2017,12,1,4,6
6391,Kisii,Nairobi,shuttle,11,9,2018,3,15,3,8
6392,Keroka,Nairobi,shuttle,11,11,2017,12,1,4,6
6393,Kisii,Nairobi,shuttle,11,2,2018,3,15,3,8
6394,Kisii,Nairobi,shuttle,11,11,2018,3,15,3,8
6395,Keroka,Nairobi,shuttle,11,11,2017,12,1,4,5
6396,Keroka,Nairobi,shuttle,11,11,2017,12,1,4,5
6397,Kisii,Nairobi,shuttle,11,10,2018,3,15,3,8
6398,Keroka,Nairobi,shuttle,11,11,2017,12,1,4,5
6399,Kisii,Nairobi,shuttle,11,1,2018,3,15,3,5
6400,Kisii,Nairobi,shuttle,11,1,2018,3,15,3,8
6401,Kisii,Nairobi,shuttle,11,8,2018,3,15,3,7
6402,Kisii,Nairobi,shuttle,11,6,2018,3,15,3,7
6403,Keroka,Nairobi,shuttle,11,11,2017,12,1,4,10
6404,Kisii,Nairobi,shuttle,11,10,2018,3,15,3,7
6405,Kisii,Nairobi,shuttle,11,9,2018,3,15,3,7
6406,Kisii,Nairobi,shuttle,11,10,2018,3,15,3,6
6407,Kisii,Nairobi,shuttle,11,7,2018,3,15,3,7
6408,Kisii,Nairobi,shuttle,11,8,2018,3,15,3,6
6409,Kisii,Nairobi,Bus,49,15,2018,3,15,3,7
6414,Keumbu,Nairobi,shuttle,11,1,2017,12,1,4,5
6420,Kisii,Nairobi,shuttle,11,10,2018,3,15,3,6
6422,Keroka,Nairobi,Bus,49,3,2017,12,2,5,7
6423,Rongo,Nairobi,Bus,49,9,2017,12,2,5,7
6424,Rongo,Nairobi,Bus,49,3,2017,12,2,5,7
6425,Kisii,Nairobi,shuttle,11,10,2018,3,15,3,6
6426,Kisii,Nairobi,Bus,49,6,2018,3,15,3,7
6428,Kisii,Nairobi,shuttle,11,6,2018,3,15,3,6
6434,Rongo,Nairobi,Bus,49,3,2017,12,2,5,7
6435,Kisii,Nairobi,shuttle,11,5,2018,3,15,3,6
6436,Kisii,Nairobi,Bus,49,1,2018,3,15,3,7
6440,Keumbu,Nairobi,shuttle,11,1,2017,12,2,5,5
6447,Kisii,Nairobi,shuttle,11,1,2018,3,15,3,5
6449,Kisii,Nairobi,shuttle,11,1,2018,3,14,2,5
6453,Kisii,Nairobi,shuttle,11,3,2018,3,14,2,8
6454,Kisii,Nairobi,shuttle,11,9,2018,3,14,2,8
6455,Kisii,Nairobi,shuttle,11,10,2018,3,14,2,8
6456,Kisii,Nairobi,Bus,49,11,2018,3,14,2,7
6459,Kisii,Nairobi,shuttle,11,9,2018,3,14,2,8
6461,Kisii,Nairobi,shuttle,11,11,2018,3,14,2,7
6464,Kisii,Nairobi,shuttle,11,11,2018,3,14,2,7
6465,Kisii,Nairobi,shuttle,11,1,2018,3,14,2,6
6466,Kisii,Nairobi,shuttle,11,3,2018,3,14,2,7
6468,Kisii,Nairobi,shuttle,11,11,2018,3,14,2,5
6470,Rongo,Nairobi,Bus,49,3,2017,12,3,6,7
6471,Kisii,Nairobi,shuttle,11,1,2018,3,14,2,5
6472,Kisii,Nairobi,shuttle,11,1,2018,3,14,2,5
6476,Keroka,Nairobi,Bus,49,1,2017,12,3,6,7
6477,Kisii,Nairobi,shuttle,11,1,2018,3,13,1,5
6485,Kisii,Nairobi,Bus,49,5,2018,3,13,1,7
6486,Kisii,Nairobi,shuttle,11,1,2018,3,13,1,10
6487,Kisii,Nairobi,shuttle,11,9,2018,3,13,1,10
6488,Kisii,Nairobi,shuttle,11,10,2018,3,13,1,10
6490,Kisii,Nairobi,shuttle,11,8,2018,3,13,1,10
6491,Kisii,Nairobi,shuttle,11,10,2018,3,13,1,10
6492,Rongo,Nairobi,Bus,49,1,2017,12,3,6,7
6493,Kisii,Nairobi,shuttle,11,11,2018,3,13,1,10
6494,Kisii,Nairobi,shuttle,11,3,2018,3,13,1,10
6495,Kisii,Nairobi,shuttle,11,6,2018,3,13,1,9
6496,Kisii,Nairobi,shuttle,11,6,2018,3,13,1,9
6497,Kisii,Nairobi,shuttle,11,8,2018,3,13,1,9
6498,Kisii,Nairobi,shuttle,11,8,2018,3,13,1,9
6499,Kisii,Nairobi,shuttle,11,11,2018,3,13,1,9
6500,Kisii,Nairobi,shuttle,11,10,2018,3,13,1,9
6501,Kisii,Nairobi,shuttle,11,4,2018,3,13,1,8
6504,Kisii,Nairobi,shuttle,11,9,2018,3,13,1,8
6507,Kisii,Nairobi,shuttle,11,10,2018,3,13,1,8
6508,Kisii,Nairobi,shuttle,11,8,2018,3,13,1,8
6509,Kisii,Nairobi,Bus,49,17,2018,3,13,1,7
6512,Keroka,Nairobi,shuttle,11,2,2017,12,3,6,6
6518,Keumbu,Nairobi,shuttle,11,1,2017,12,3,6,5
6520,Keumbu,Nairobi,shuttle,11,1,2017,12,3,6,5
6522,Kisii,Nairobi,shuttle,11,10,2018,3,13,1,8
6527,Kisii,Nairobi,shuttle,11,10,2018,3,13,1,8
6529,Rongo,Nairobi,Bus,49,3,2017,12,4,0,7
6530,Kisii,Nairobi,shuttle,11,8,2018,3,13,1,7
6531,Rongo,Nairobi,Bus,49,3,2017,12,4,0,7
6532,Homa Bay,Nairobi,Bus,49,25,2017,12,4,0,7
6533,Kisii,Nairobi,shuttle,11,8,2018,3,13,1,7
6534,Kisii,Nairobi,Bus,49,5,2018,3,13,1,7
6535,Migori,Nairobi,Bus,49,15,2017,12,4,0,7
6536,Kisii,Nairobi,shuttle,11,11,2018,3,13,1,7
6537,Homa Bay,Nairobi,Bus,49,1,2017,12,4,0,7
